path,type,status,confidence,title,tags,evidence_count,evidence_kinds,contributor_count,body_chars,first_seen,last_confirmed,created_at,uuid
decisions/use-postgresql-pgvector,decision,active,high,Use PostgreSQL with pgvector and pg-boss for Queue Management as the Primary Database,postgresql|pgvector|decision|database|storage|postgres|pg-boss|redis|queue|deployment,3,commit|pr|repo_file,2,3228,2026-07-28T04:02:17.218+00:00,2026-07-28T04:03:20.624+00:00,2026-07-28T04:02:22.374+00:00,13ee5d2e-6bfe-4406-ae91-153c4c0ea148
gotchas/api-key-plaintext,gotcha,active,high,API Key Plaintext Availability Policy,api-key|security|bootstrap,1,repo_file,0,367,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:49.517+00:00,65c3b723-b1be-4995-918b-991ec3f34aab
gotchas/api-key-plaintext-visibility,gotcha,active,high,API Key Plaintext Visibility and Management,security|api-key|bootstrap|token,1,repo_file,0,799,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:54.321+00:00,e4872ce7-148c-4276-8f0c-b3c5fc681110
gotchas/api-rate-limiting,gotcha,active,medium,Redis token bucket for API rate limiting,api|rate-limiting|redis|deployment|limit,1,repo_file,0,696,2026-07-28T04:22:16.393+00:00,2026-07-28T04:22:16.393+00:00,2026-07-28T04:22:21.295+00:00,f8150ab0-3b45-4980-8354-60a879bac707
gotchas/compose-does-not-migrate,gotcha,active,high,Docker Compose does not run database migrations,docker|compose|migrations|drizzle-kit|database|gotcha|docker-compose|migration|setup,2,repo_file,0,1454,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:24.301+00:00,6ced398e-c8d5-402e-b2ae-6d3c2991c4b0
gotchas/exponential-backoff-retry-errors,gotcha,active,medium,Exponential Backoff Retry: Catches All Errors Including Non-retryable Ones,retry|backoff|error-handling|functions,1,repo_file,0,608,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:30.903+00:00,1b8ee59d-ae67-40bb-9694-f3ed460ff38c
gotchas/in-process-rate-limiter-reset,gotcha,active,medium,In-process API rate limiter resets on deploy,rate-limiting|api|redis|deployment|burst,1,repo_file,0,314,2026-07-28T04:56:52.948+00:00,2026-07-28T04:56:52.948+00:00,2026-07-28T04:57:00.148+00:00,b406bc5d-ef61-4526-b1fb-f9beda2a60df
gotchas/migration-requires-pgvector,gotcha,active,high,pgvector extension missing causes migration failure,postgres|pgvector|migrations|gotcha|hnsw-indexing,1,repo_file,0,917,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:15.397+00:00,446583b9-8f4e-43af-8796-f4a26a4723cc
gotchas/pg-connection-leaks,gotcha,active,medium,Ensure pool.end() is called during graceful shutdown to prevent connection leaks,postgres|connection-pool|shutdown|resource-management|leak-prevention,1,repo_file,0,412,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:26.482+00:00,57156e0b-eee5-4e6e-aeee-d300718b76b0
gotchas/pgvector-extension-requirement,gotcha,active,high,pgvector extension requirement for successful migration,pgvector|extension|migration|postgres,1,repo_file,0,908,2026-07-28T03:06:41.188+00:00,2026-07-28T03:06:41.188+00:00,2026-07-28T03:07:07.767+00:00,a237953d-9291-452b-af13-bfcd04ed5193
gotchas/postgresql-pool-shutdown,gotcha,active,medium,PostgreSQL Connection Pool Shutdown Must Call pool.end() to Prevent Leaks,postgresql|connection-pool|shutdown|resource-leak,1,repo_file,0,316,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:40.659+00:00,2026-07-28T04:27:15.44+00:00,b7660aac-4990-4e9a-bfde-8f854983c044
gotchas/provider-model-default-rot,gotcha,active,high,Pinned provider model defaults can rot silently,provider|model|defaults|rot|api,1,repo_file,0,867,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:40.713+00:00,06cd0eef-416c-4aaf-bdf3-10a577fa7f42
gotchas/provider-model-defaults-rot,gotcha,active,high,Pinned Provider Model Defaults and Semantic Recall Gotchas,provider|model|defaults|failure|404|dependencies|configuration|fallback|embedding,2,repo_file,0,2183,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:37.524+00:00,9db276b7-d7d8-4869-a0b6-9c5b910eeef8
gotchas/retry-function-error-handling,gotcha,active,medium,Exponential backoff error handling warning,retry|exponential-backoff|error-handling|idempotency|gotcha,1,repo_file,0,1020,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:45.446+00:00,b6124ad2-72a1-40bd-8f12-9633db5f0a8f
gotchas/root-union-schema-rejection,gotcha,active,high,Root union schemas rejected by providers,schema|gotcha|provider-integration,1,repo_file,0,779,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:28.386+00:00,2026-07-28T05:14:07.831+00:00,71ed4cbd-dde0-41d4-9ab9-58f8f4b1f077
gotchas/runtime-image-no-pnpm,gotcha,active,high,"Runtime image lacks pnpm, causing command failures",docker|runtime|pnpm|docker-compose|node,1,repo_file,0,971,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:17.564+00:00,f5112aa9-dd91-48d3-9761-48de2f750b73
gotchas/runtime-image-no-pnpm,gotcha,active,medium,Runtime Image Limitations: Package Managers and Migrations,docker|nodejs|container|compose|migration|gotcha|drizzle,2,repo_file,0,2101,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:54.518+00:00,509fc5d5-03f9-42eb-b4d9-cc28709510ae
gotchas/schema-root-union-type,gotcha,active,high,Avoid using union types at schema root in structured output for provider compatibility,schema|provider|zod|json-schema,1,repo_file,0,1144,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:49.256+00:00,35bf25f4-d06b-43a6-bf53-a05bba1eadc8
gotchas/stripe-webhook-retries,gotcha,active,medium,Stripe webhook retries and the risk of double charges,stripe|idempotency|webhooks|retries|double-charge,1,mcp_write,0,396,2026-07-28T12:19:43.225+00:00,2026-07-28T12:19:43.225+00:00,2026-07-28T12:19:48.238+00:00,711d3989-06b8-46d2-9856-d05c2ab8b57e
runbooks/bringing-up-a-new-environment,runbook,active,high,Checklist for bringing up a brand new environment,docker|environment|migration|setup,1,repo_file,0,859,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:20.69+00:00,222ff6ff-3660-4ac6-b42c-77e0b2fd0404
runbooks/compile-job-stuck-in-queued,runbook,active,high,Runbook for resolving compile job stuck in 'queued' state,runbook|compile-job|queued-state|troubleshooting|steps,1,repo_file,0,1298,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:44.609+00:00,440665ec-b756-4561-9b43-b8e0989da8db
runbooks/compile-job-stuck-in-queued,runbook,active,high,Compile job stuck in queued status,runbook|compile-job|queued-status|troubleshooting,1,repo_file,0,1290,2026-07-28T03:06:41.188+00:00,2026-07-28T03:06:41.188+00:00,2026-07-28T03:06:55.967+00:00,0d406c63-dff7-433b-8c9d-9d83cb36305b
runbooks/restore-postgres-from-backup,runbook,active,high,Restore Postgres from Nightly Backup,postgres|backup|restore|runbook,1,repo_file,0,698,2026-07-28T12:33:51.993+00:00,2026-07-28T12:33:51.993+00:00,2026-07-28T12:34:08.977+00:00,af2efc80-2e42-4399-bdfb-20962001a5a7
runbooks/roll-back-a-deployment,runbook,active,high,How to Roll Back a Production Deployment,rollback|deployment|pipeline|operational,1,repo_file,0,734,2026-07-28T12:33:51.993+00:00,2026-07-28T12:33:51.993+00:00,2026-07-28T12:34:02.951+00:00,96e11af3-ea80-450c-a7cf-1c6484c814bd
runbooks/rotate-database-credentials,runbook,active,high,Runbook for rotating production database credentials,database|credentials|rotation|vault|deployments|ops-log,1,repo_file,0,772,2026-07-28T12:33:51.993+00:00,2026-07-28T12:33:51.993+00:00,2026-07-28T12:33:56.609+00:00,f91917d7-16dd-4f10-8222-5b3cd3e04d95
services/compile-worker,service,active,medium,Compile Worker Service,service|pg-boss|worker|docker-compose|scaling,1,repo_file,0,1183,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:31.8+00:00,f8390115-76c6-4d38-97d8-edc95301838f
services/compile-worker,service,active,high,Compile Worker Service,compile-worker|pg-boss|worker-service|event-processing,1,repo_file,0,1047,2026-07-28T03:06:41.188+00:00,2026-07-28T03:06:41.188+00:00,2026-07-28T03:07:20.057+00:00,b9026f90-771e-495e-833f-a9091f2e4c56
services/payments-service,service,active,medium,Payments Service with Stripe Webhook Handling and Retry Pitfall,payments|stripe|billing|webhooks|reconciliation|webhook|idempotency|retries,2,repo_file,0,632,2026-07-28T04:56:52.948+00:00,2026-07-28T04:56:52.948+00:00,2026-07-28T04:56:55.99+00:00,f8cc5e86-5580-44f4-a886-7bcf70cd0efc
services/payments-service,service,active,medium,Payments Service and Stripe Webhook Idempotency,payments|stripe|webhooks|billing|webhook|idempotency|duplicate-charges|retries,2,repo_file,0,770,2026-07-28T04:22:16.393+00:00,2026-07-28T04:22:16.393+00:00,2026-07-28T04:22:24.119+00:00,681519f9-e09f-4d43-a0b2-c5e1299796e0
services/task-service,service,active,medium,Task Service and Task Schema Definition in TypeScript,postgres|task-service|crud|transition|app-error|retry|typescript|schema|validation|task|zod|lifecycle,2,repo_file,0,2258,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:50.656+00:00,7b327fc6-a4ce-4ab4-9357-5566e7349c41
services/task-service,service,active,medium,Task Service - Manages Task CRUD Operations,task|service|database|crud|postgres,1,repo_file,0,630,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:15.089+00:00,c866b835-b27f-443f-b2c5-676f142c653c
